"","Location","Music","Price","Sales","Income","Cost","Profit"
"96","Park","Alternative",35,54,1890,1178,712
"97","Park","Alternative",35,30,1050,1010,40
"98","Park","Alternative",35,46,1610,1122,488
"99","Park","Alternative",35,42,1470,1094,376
"100","Park","Alternative",35,44,1540,1108,432
"101","Park","Alternative",35,48,1680,1136,544
"102","Park","Alternative",35,42,1470,1094,376
"103","Park","Alternative",35,42,1470,1094,376
"104","Park","Alternative",35,42,1470,1094,376
"105","Park","Alternative",35,40,1400,1080,320
"106","Park","Alternative",35,35,1225,1045,180
"107","Park","Alternative",35,54,1890,1178,712
"108","Park","Alternative",35,42,1470,1094,376
"109","Park","Alternative",35,41,1435,1087,348
"110","Park","Alternative",35,38,1330,1066,264
"111","Park","Alternative",35,39,1365,1073,292
"112","Park","Alternative",35,53,1855,1171,684
"113","Park","Alternative",35,50,1750,1150,600
"114","Park","Alternative",35,44,1540,1108,432
"115","Park","Alternative",35,42,1470,1094,376
"116","Park","Alternative",35,46,1610,1122,488
"117","Park","Alternative",35,49,1715,1143,572
"118","Park","Alternative",35,38,1330,1066,264
"119","Park","Alternative",35,44,1540,1108,432
"120","Park","Alternative",35,47,1645,1129,516
"121","Park","Alternative",35,50,1750,1150,600
"122","Park","Alternative",35,38,1330,1066,264
"123","Park","Alternative",35,41,1435,1087,348
"124","Park","Alternative",35,42,1470,1094,376
"125","Park","Alternative",35,46,1610,1122,488
"126","Park","Alternative",35,39,1365,1073,292
"127","Park","Alternative",35,42,1470,1094,376
"128","Park","Alternative",35,38,1330,1066,264
"129","Park","Alternative",35,52,1820,1164,656
"130","Park","Alternative",35,40,1400,1080,320
"131","Park","Alternative",35,45,1575,1115,460
"132","Park","Alternative",35,36,1260,1052,208
"133","Park","Alternative",35,36,1260,1052,208
"134","Park","Alternative",35,38,1330,1066,264
"135","Park","Alternative",35,36,1260,1052,208
"136","Park","Alternative",35,43,1505,1101,404
"137","Park","Alternative",35,44,1540,1108,432
"138","Park","Alternative",35,40,1400,1080,320
"139","Park","Alternative",35,46,1610,1122,488
"140","Park","Alternative",35,42,1470,1094,376
"141","Park","Alternative",35,46,1610,1122,488
"142","Park","Alternative",35,51,1785,1157,628
"143","Park","Alternative",35,38,1330,1066,264
"144","Park","Alternative",35,41,1435,1087,348
"145","Park","Alternative",35,38,1330,1066,264
"146","Park","Alternative",35,38,1330,1066,264
"147","Park","Alternative",35,56,1960,1192,768
"148","Park","Alternative",35,39,1365,1073,292
"149","Park","Alternative",35,41,1435,1087,348
"150","Park","Alternative",35,42,1470,1094,376
"151","Park","Alternative",35,34,1190,1038,152
"152","Park","Alternative",35,40,1400,1080,320
"153","Park","Alternative",35,50,1750,1150,600
"154","Park","Alternative",35,42,1470,1094,376
"155","Park","Alternative",35,36,1260,1052,208
"156","Park","Alternative",35,48,1680,1136,544
"157","Park","Alternative",35,45,1575,1115,460
"158","Park","Alternative",35,46,1610,1122,488
"159","Park","Alternative",35,38,1330,1066,264
"160","Park","Alternative",35,43,1505,1101,404
"161","Park","Alternative",35,38,1330,1066,264
"162","Park","Alternative",35,49,1715,1143,572
"163","Park","Alternative",35,43,1505,1101,404
"164","Park","Alternative",35,35,1225,1045,180
"165","Park","Alternative",35,36,1260,1052,208
"166","Park","Alternative",35,42,1470,1094,376
"167","Park","Alternative",35,40,1400,1080,320
"168","Park","Alternative",35,43,1505,1101,404
"169","Park","Alternative",35,39,1365,1073,292
"170","Park","Alternative",35,42,1470,1094,376
"171","Park","Alternative",35,43,1505,1101,404
"172","Park","Alternative",35,40,1400,1080,320
"173","Park","Alternative",35,47,1645,1129,516
"174","Park","Alternative",35,44,1540,1108,432
"175","Park","Alternative",35,43,1505,1101,404
"176","Park","Alternative",35,41,1435,1087,348
"177","Park","Alternative",35,38,1330,1066,264
"178","Park","Alternative",35,48,1680,1136,544
"179","Park","Alternative",35,48,1680,1136,544
"180","Park","Alternative",35,44,1540,1108,432
"181","Park","Alternative",35,50,1750,1150,600
"182","Park","Alternative",35,44,1540,1108,432
"183","Park","Alternative",35,35,1225,1045,180
"184","Park","Alternative",35,41,1435,1087,348
"185","Park","Alternative",35,44,1540,1108,432
"186","Park","Alternative",35,48,1680,1136,544
"187","Park","Alternative",35,46,1610,1122,488
"188","Park","Alternative",35,38,1330,1066,264
"189","Park","Alternative",35,48,1680,1136,544
"190","Park","Alternative",35,42,1470,1094,376
"191","Park","Alternative",35,34,1190,1038,152
"192","Park","Alternative",35,50,1750,1150,600
"193","Park","Alternative",35,42,1470,1094,376
"194","Park","Alternative",35,41,1435,1087,348
"195","Park","Alternative",35,44,1540,1108,432
"196","Park","Alternative",35,46,1610,1122,488
"197","Park","Alternative",35,32,1120,1024,96
"198","Park","Alternative",35,43,1505,1101,404
"199","Park","Alternative",35,45,1575,1115,460
"200","Park","Alternative",35,42,1470,1094,376
"201","Park","Alternative",35,34,1190,1038,152
"202","Park","Alternative",35,44,1540,1108,432
"203","Park","Alternative",35,44,1540,1108,432
"204","Park","Alternative",35,56,1960,1192,768
"205","Park","Alternative",35,45,1575,1115,460
"206","Park","Alternative",35,42,1470,1094,376
"207","Park","Alternative",35,44,1540,1108,432
"208","Park","Alternative",35,36,1260,1052,208
"209","Park","Alternative",35,50,1750,1150,600
"210","Park","Alternative",35,38,1330,1066,264
"211","Park","Alternative",35,41,1435,1087,348
"212","Park","Alternative",40,28,1120,996,124
"213","Park","Alternative",40,42,1680,1094,586
"214","Park","Alternative",32,57,1824,1199,625
"215","Park","Alternative",35,42,1470,1094,376
"216","Park","Alternative",40,34,1360,1038,322
"217","Park","Alternative",32,49,1568,1143,425
"218","Park","Alternative",32,53,1696,1171,525
"219","Park","Alternative",35,44,1540,1108,432
"220","Park","Alternative",40,29,1160,1003,157
"221","Park","Alternative",32,54,1728,1178,550
"222","Park","Alternative",35,51,1785,1157,628
"223","Park","Alternative",35,37,1295,1059,236
"224","Park","Alternative",40,31,1240,1017,223
"225","Park","Alternative",32,44,1408,1108,300
"226","Park","Alternative",35,42,1470,1094,376
"227","Park","Alternative",40,32,1280,1024,256
"228","Park","Alternative",32,48,1536,1136,400
"229","Park","Alternative",35,38,1330,1066,264
"230","Park","Alternative",40,34,1360,1038,322
"231","Park","Alternative",32,54,1728,1178,550
"232","Park","Alternative",35,50,1750,1150,600
"233","Park","Alternative",40,39,1560,1073,487
"234","Park","Alternative",32,44,1408,1108,300
"235","Park","Alternative",35,44,1540,1108,432
"236","Park","Alternative",40,30,1200,1010,190
"237","Park","Alternative",40,18,720,926,-206
"238","Park","Alternative",32,54,1728,1178,550
"239","Park","Alternative",35,38,1330,1066,264
"240","Park","Alternative",40,36,1440,1052,388
"241","Park","Alternative",32,57,1824,1199,625
"242","Park","Alternative",32,64,2048,1248,800
"243","Park","Alternative",35,38,1330,1066,264
"244","Park","Alternative",40,38,1520,1066,454
"245","Park","Alternative",32,50,1600,1150,450
"246","Park","Alternative",35,38,1330,1066,264
"247","Park","Alternative",35,48,1680,1136,544
"248","Park","Alternative",40,37,1480,1059,421
"249","Park","Alternative",32,53,1696,1171,525
"250","Park","Alternative",35,43,1505,1101,404
"251","Park","Alternative",40,29,1160,1003,157
"252","Park","Alternative",40,34,1360,1038,322
"253","Park","Alternative",32,47,1504,1129,375
"254","Park","Alternative",35,46,1610,1122,488
"255","Park","Alternative",40,32,1280,1024,256
"256","Park","Alternative",32,46,1472,1122,350
"257","Park","Alternative",32,44,1408,1108,300
"258","Park","Alternative",35,38,1330,1066,264
"259","Park","Alternative",40,34,1360,1038,322
"260","Park","Alternative",32,36,1152,1052,100
"261","Park","Alternative",35,52,1820,1164,656
"262","Park","Alternative",35,42,1470,1094,376
"263","Park","Alternative",40,30,1200,1010,190
"264","Park","Alternative",32,56,1792,1192,600
"265","Park","Alternative",35,41,1435,1087,348
"266","Park","Alternative",40,32,1280,1024,256
"267","Park","Alternative",32,55,1760,1185,575
"268","Park","Alternative",35,45,1575,1115,460
"269","Park","Alternative",40,35,1400,1045,355
"270","Park","Alternative",32,47,1504,1129,375
"271","Park","Alternative",32,40,1280,1080,200
"272","Park","Alternative",32,53,1696,1171,525
"273","Park","Alternative",32,47,1504,1129,375
"274","Park","Alternative",35,46,1610,1122,488
"275","Park","Alternative",40,34,1360,1038,322
"276","Park","Alternative",35,30,1050,1010,40
"277","Park","Alternative",35,38,1330,1066,264
"278","Park","Alternative",35,47,1645,1129,516
"279","Park","Alternative",40,30,1200,1010,190
"280","Park","Alternative",40,28,1120,996,124
"281","Park","Alternative",35,48,1680,1136,544
"282","Park","Alternative",35,38,1330,1066,264
"283","Park","Alternative",40,34,1360,1038,322
"284","Park","Alternative",35,48,1680,1136,544
"285","Park","Alternative",40,28,1120,996,124
"286","Park","Alternative",35,44,1540,1108,432
"287","Park","Alternative",35,36,1260,1052,208
"288","Park","Alternative",35,35,1225,1045,180
"289","Park","Alternative",40,44,1760,1108,652
"290","Park","Alternative",32,46,1472,1122,350
"291","Park","Alternative",40,38,1520,1066,454
"292","Park","Alternative",32,51,1632,1157,475
"293","Park","Alternative",40,34,1360,1038,322
"294","Park","Alternative",32,40,1280,1080,200
"295","Park","Alternative",32,59,1888,1213,675
"296","Park","Alternative",40,44,1760,1108,652
"297","Park","Alternative",32,50,1600,1150,450
"298","Park","Alternative",35,40,1400,1080,320
"299","Park","Alternative",35,41,1435,1087,348
"300","Park","Alternative",35,41,1435,1087,348
"301","Park","Alternative",32,46,1472,1122,350
"302","Park","Alternative",35,35,1225,1045,180
"303","Park","Alternative",35,32,1120,1024,96
"304","Park","Alternative",40,34,1360,1038,322
"305","Park","Alternative",32,52,1664,1164,500
"306","Park","Alternative",32,55,1760,1185,575
"307","Park","Alternative",32,53,1696,1171,525
"308","Park","Alternative",35,46,1610,1122,488
"309","Park","Alternative",32,54,1728,1178,550
"310","Park","Alternative",40,30,1200,1010,190
"311","Park","Alternative",40,33,1320,1031,289
"312","Park","Alternative",40,34,1360,1038,322
"313","Park","Alternative",32,50,1600,1150,450
"314","Park","Alternative",32,51,1632,1157,475
"315","Park","Alternative",40,38,1520,1066,454
"316","Park","Alternative",40,46,1840,1122,718
"317","Park","Alternative",35,44,1540,1108,432
"318","Park","Alternative",35,40,1400,1080,320
"319","Park","Alternative",32,56,1792,1192,600
"320","Park","Alternative",32,51,1632,1157,475
"321","Park","Alternative",35,42,1470,1094,376
"322","Park","Alternative",40,32,1280,1024,256
"323","Park","Alternative",40,39,1560,1073,487
"324","Park","Alternative",32,56,1792,1192,600
"325","Park","Alternative",35,53,1855,1171,684
"326","Park","Alternative",32,50,1600,1150,450
"327","Park","Alternative",40,40,1600,1080,520
"328","Park","Alternative",40,32,1280,1024,256
"329","Park","Alternative",40,33,1320,1031,289
"330","Park","Alternative",32,62,1984,1234,750
"331","Park","Alternative",40,34,1360,1038,322
"332","Park","Alternative",32,53,1696,1171,525
"333","Park","Alternative",32,52,1664,1164,500
"334","Park","Alternative",35,48,1680,1136,544
"335","Park","Alternative",32,53,1696,1171,525
"336","Park","Alternative",40,34,1360,1038,322
"337","Park","Alternative",32,51,1632,1157,475
"338","Park","Alternative",40,34,1360,1038,322
"339","Park","Alternative",32,44,1408,1108,300
"340","Park","Alternative",32,56,1792,1192,600
"341","Park","Alternative",35,38,1330,1066,264
"342","Park","Alternative",40,40,1600,1080,520
"343","Park","Alternative",32,56,1792,1192,600
"344","Park","Alternative",40,32,1280,1024,256
"345","Park","Alternative",32,54,1728,1178,550
"346","Park","Alternative",35,51,1785,1157,628
"347","Park","Alternative",32,53,1696,1171,525
"348","Park","Alternative",32,48,1536,1136,400
"349","Park","Alternative",35,42,1470,1094,376
"350","Park","Alternative",35,46,1610,1122,488
"351","Park","Alternative",40,39,1560,1073,487
"352","Park","Alternative",35,60,2100,1220,880
"353","Park","Alternative",35,50,1750,1150,600
"354","Park","Alternative",40,42,1680,1094,586
"355","Park","Alternative",35,52,1820,1164,656
"356","Park","Alternative",40,26,1040,982,58
"357","Park","Alternative",35,50,1750,1150,600
"358","Park","Alternative",32,49,1568,1143,425
"359","Park","Alternative",40,30,1200,1010,190
"360","Park","Alternative",40,30,1200,1010,190
"361","Park","Alternative",40,33,1320,1031,289
"362","Park","Alternative",35,44,1540,1108,432
"363","Park","Alternative",32,52,1664,1164,500
"364","Park","Alternative",40,27,1080,989,91
"365","Park","Alternative",32,52,1664,1164,500
"366","Park","Alternative",40,29,1160,1003,157
"367","Park","Alternative",32,52,1664,1164,500
"368","Park","Alternative",40,28,1120,996,124
"369","Park","Alternative",32,62,1984,1234,750
"370","Park","Alternative",35,48,1680,1136,544
"371","Park","Alternative",35,40,1400,1080,320
"372","Park","Alternative",32,47,1504,1129,375
"373","Park","Alternative",40,34,1360,1038,322
"374","Park","Alternative",35,44,1540,1108,432
"375","Park","Alternative",32,51,1632,1157,475
"376","Park","Alternative",35,42,1470,1094,376
"377","Park","Alternative",40,34,1360,1038,322
"378","Park","Alternative",40,39,1560,1073,487
"379","Park","Alternative",35,46,1610,1122,488
"380","Park","Alternative",35,46,1610,1122,488
"381","Park","Alternative",40,32,1280,1024,256
"382","Park","Alternative",35,46,1610,1122,488
"383","Park","Alternative",35,36,1260,1052,208
"384","Park","Alternative",32,51,1632,1157,475
"385","Park","Alternative",40,35,1400,1045,355
"386","Park","Alternative",32,58,1856,1206,650
"387","Park","Alternative",32,53,1696,1171,525
"388","Park","Alternative",35,42,1470,1094,376
"389","Park","Alternative",40,36,1440,1052,388
"390","Park","Alternative",35,40,1400,1080,320
"391","Park","Alternative",35,49,1715,1143,572
"392","Park","Alternative",35,42,1470,1094,376
"393","Park","Alternative",40,33,1320,1031,289
"394","Park","Alternative",32,49,1568,1143,425
"395","Park","Alternative",40,28,1120,996,124
"396","Park","Alternative",40,24,960,968,-8
"397","Park","Alternative",32,47,1504,1129,375
"398","Park","Alternative",40,25,1000,975,25
"399","Park","Alternative",35,40,1400,1080,320
"400","Park","Alternative",32,56,1792,1192,600
"401","Park","Alternative",35,40,1400,1080,320
"402","Park","Alternative",32,52,1664,1164,500
"403","Park","Alternative",32,55,1760,1185,575
"404","Park","Alternative",35,46,1610,1122,488
"405","Park","Alternative",40,30,1200,1010,190
"406","Park","Alternative",40,31,1240,1017,223
"407","Park","Alternative",35,41,1435,1087,348
"408","Park","Alternative",40,29,1160,1003,157
"409","Park","Alternative",32,46,1472,1122,350
"410","Park","Alternative",32,56,1792,1192,600
"411","Park","Alternative",32,46,1472,1122,350
"412","Park","Alternative",32,54,1728,1178,550
"413","Park","Alternative",35,43,1505,1101,404
"414","Park","Alternative",32,54,1728,1178,550
"415","Park","Alternative",35,38,1330,1066,264
"416","Park","Alternative",35,56,1960,1192,768
"417","Park","Alternative",40,33,1320,1031,289
"418","Park","Alternative",35,47,1645,1129,516
"419","Park","Alternative",40,30,1200,1010,190
"420","Park","Alternative",40,24,960,968,-8
"421","Park","Alternative",35,44,1540,1108,432
"422","Park","Alternative",32,55,1760,1185,575
"423","Park","Alternative",32,65,2080,1255,825
"424","Park","Alternative",40,37,1480,1059,421
"425","Park","Alternative",40,34,1360,1038,322
"426","Park","Alternative",35,34,1190,1038,152
"427","Park","Alternative",32,47,1504,1129,375
"428","Park","Alternative",35,44,1540,1108,432
"429","Park","Alternative",40,32,1280,1024,256
"430","Park","Alternative",35,38,1330,1066,264
"431","Park","Alternative",35,42,1470,1094,376
"432","Park","Alternative",40,33,1320,1031,289
"433","Park","Alternative",32,55,1760,1185,575
"434","Park","Alternative",32,49,1568,1143,425
"435","Park","Alternative",35,37,1295,1059,236
"436","Park","Alternative",40,24,960,968,-8
"437","Park","Alternative",35,28,980,996,-16
"438","Park","Alternative",35,38,1330,1066,264
"439","Park","Alternative",32,44,1408,1108,300
"440","Park","Alternative",32,54,1728,1178,550
"441","Park","Alternative",32,56,1792,1192,600
"442","Park","Alternative",40,36,1440,1052,388
"443","Park","Alternative",32,54,1728,1178,550
"444","Park","Alternative",35,48,1680,1136,544
"445","Park","Alternative",40,33,1320,1031,289
"446","Park","Alternative",35,48,1680,1136,544
"447","Park","Alternative",32,52,1664,1164,500
"448","Park","Alternative",40,36,1440,1052,388
"449","Park","Alternative",40,30,1200,1010,190
"450","Park","Alternative",40,30,1200,1010,190
"451","Park","Alternative",40,41,1640,1087,553
"452","Park","Alternative",35,40,1400,1080,320
"453","Park","Alternative",35,44,1540,1108,432
"454","Park","Alternative",35,52,1820,1164,656
"455","Park","Alternative",35,32,1120,1024,96
"456","Park","Alternative",32,46,1472,1122,350
"457","Park","Alternative",32,50,1600,1150,450
"458","Park","Alternative",35,38,1330,1066,264
"459","Park","Alternative",40,29,1160,1003,157
"460","Park","Alternative",32,63,2016,1241,775
"461","Park","Alternative",32,46,1472,1122,350
"462","Park","Alternative",35,47,1645,1129,516
"463","Park","Alternative",40,42,1680,1094,586
"464","Park","Alternative",40,36,1440,1052,388
"465","Park","Alternative",32,53,1696,1171,525
"466","Park","Alternative",40,38,1520,1066,454
"467","Park","Alternative",40,30,1200,1010,190
"468","Park","Alternative",40,38,1520,1066,454
"469","Park","Alternative",32,47,1504,1129,375
"470","Park","Alternative",35,41,1435,1087,348
"471","Park","Alternative",40,43,1720,1101,619
"472","Park","Alternative",32,54,1728,1178,550
"473","Park","Alternative",40,34,1360,1038,322
"474","Park","Alternative",35,44,1540,1108,432
"475","Park","Alternative",35,44,1540,1108,432
"476","Park","Alternative",35,41,1435,1087,348
"477","Park","Alternative",35,44,1540,1108,432
"478","Park","Alternative",35,46,1610,1122,488
"479","Park","Alternative",32,60,1920,1220,700
"480","Park","Alternative",40,28,1120,996,124
"481","Park","Alternative",32,48,1536,1136,400
"482","Park","Alternative",32,57,1824,1199,625
"483","Park","Alternative",40,26,1040,982,58
"484","Park","Alternative",40,34,1360,1038,322
"485","Park","Alternative",32,50,1600,1150,450
"486","Park","Alternative",35,32,1120,1024,96
"487","Park","Alternative",40,28,1120,996,124
"488","Park","Alternative",32,53,1696,1171,525
"489","Park","Alternative",35,37,1295,1059,236
"490","Park","Alternative",32,54,1728,1178,550
"491","Park","Alternative",35,54,1890,1178,712
"492","Park","Alternative",32,56,1792,1192,600
"493","Park","Alternative",32,53,1696,1171,525
"494","Park","Alternative",32,59,1888,1213,675
"495","Park","Alternative",35,46,1610,1122,488
"496","Park","Alternative",35,52,1820,1164,656
"497","Park","Alternative",32,60,1920,1220,700
"498","Park","Alternative",32,40,1280,1080,200
"499","Park","Alternative",35,37,1295,1059,236
"500","Park","Alternative",40,30,1200,1010,190
"501","Park","Alternative",40,34,1360,1038,322
"502","Park","Alternative",40,32,1280,1024,256
"503","Park","Alternative",40,34,1360,1038,322
"504","Park","Alternative",40,44,1760,1108,652
"505","Park","Alternative",40,37,1480,1059,421
"506","Park","Alternative",32,56,1792,1192,600
"507","Park","Alternative",35,38,1330,1066,264
"508","Park","Alternative",32,46,1472,1122,350
"509","Park","Alternative",35,40,1400,1080,320
"510","Park","Alternative",40,31,1240,1017,223
"511","Park","Alternative",35,38,1330,1066,264
"512","Park","Alternative",40,34,1360,1038,322
"513","Park","Alternative",35,39,1365,1073,292
"514","Park","Alternative",32,56,1792,1192,600
"515","Park","Alternative",40,33,1320,1031,289
"516","Park","Alternative",35,42,1470,1094,376
"517","Park","Alternative",32,48,1536,1136,400
"518","Park","Alternative",32,60,1920,1220,700
"519","Park","Alternative",32,45,1440,1115,325
"520","Park","Alternative",35,35,1225,1045,180
"521","Park","Alternative",32,50,1600,1150,450
"522","Park","Alternative",40,28,1120,996,124
"523","Park","Alternative",35,47,1645,1129,516
"524","Park","Alternative",40,28,1120,996,124
"525","Park","Alternative",32,57,1824,1199,625
"526","Park","Alternative",35,34,1190,1038,152
"527","Park","Alternative",35,39,1365,1073,292
"528","Park","Alternative",32,52,1664,1164,500
"529","Park","Alternative",35,44,1540,1108,432
"530","Park","Alternative",35,39,1365,1073,292
"531","Park","Alternative",35,44,1540,1108,432
"532","Park","Alternative",40,38,1520,1066,454
"533","Park","Alternative",40,28,1120,996,124
"534","Park","Alternative",32,55,1760,1185,575
"535","Park","Alternative",40,26,1040,982,58
"536","Park","Alternative",40,36,1440,1052,388
"537","Park","Alternative",32,50,1600,1150,450
"538","Park","Alternative",32,45,1440,1115,325
"539","Park","Alternative",35,42,1470,1094,376
"540","Park","Alternative",40,22,880,954,-74
"541","Park","Alternative",32,56,1792,1192,600
"542","Park","Alternative",35,45,1575,1115,460
"543","Park","Alternative",40,38,1520,1066,454
"544","Park","Alternative",32,58,1856,1206,650
"545","Park","Alternative",35,42,1470,1094,376
"546","Park","Alternative",32,56,1792,1192,600
"547","Park","Alternative",35,43,1505,1101,404
"548","Park","Alternative",40,32,1280,1024,256
"549","Park","Alternative",35,46,1610,1122,488
"550","Park","Alternative",40,46,1840,1122,718
"551","Park","Alternative",32,48,1536,1136,400
"552","Park","Alternative",35,37,1295,1059,236
"553","Park","Alternative",35,42,1470,1094,376
"554","Park","Alternative",35,50,1750,1150,600
"555","Park","Alternative",40,31,1240,1017,223
"556","Park","Alternative",40,40,1600,1080,520
"557","Park","Alternative",40,38,1520,1066,454
"558","Park","Alternative",32,57,1824,1199,625
"559","Park","Alternative",35,43,1505,1101,404
"560","Park","Alternative",40,34,1360,1038,322
"561","Park","Alternative",40,35,1400,1045,355
"562","Park","Alternative",32,60,1920,1220,700
"563","Park","Alternative",32,46,1472,1122,350
"564","Park","Alternative",40,32,1280,1024,256
"565","Park","Alternative",40,30,1200,1010,190
"566","Park","Alternative",32,49,1568,1143,425
"567","Park","Alternative",32,62,1984,1234,750
"568","Park","Alternative",40,28,1120,996,124
"569","Park","Alternative",32,46,1472,1122,350
"570","Park","Alternative",35,34,1190,1038,152
"571","Park","Alternative",32,58,1856,1206,650
"572","Park","Alternative",35,42,1470,1094,376
"573","Park","Alternative",35,48,1680,1136,544
"574","Park","Alternative",32,46,1472,1122,350
"575","Park","Alternative",32,52,1664,1164,500
"576","Park","Alternative",40,34,1360,1038,322
"577","Park","Alternative",40,35,1400,1045,355
"578","Park","Alternative",35,45,1575,1115,460
"579","Park","Alternative",40,30,1200,1010,190
"580","Park","Alternative",32,54,1728,1178,550
"581","Park","Alternative",35,51,1785,1157,628
"582","Park","Alternative",32,52,1664,1164,500
"583","Park","Alternative",40,38,1520,1066,454
"584","Park","Alternative",35,38,1330,1066,264
"585","Park","Alternative",35,48,1680,1136,544
"586","Park","Alternative",35,46,1610,1122,488
"587","Park","Alternative",35,42,1470,1094,376
"588","Park","Alternative",35,44,1540,1108,432
"589","Park","Alternative",40,37,1480,1059,421
"590","Park","Alternative",40,41,1640,1087,553
"591","Park","Alternative",32,44,1408,1108,300
"592","Park","Alternative",35,53,1855,1171,684
"593","Park","Alternative",35,42,1470,1094,376
"594","Park","Alternative",32,55,1760,1185,575
"595","Park","Alternative",40,32,1280,1024,256
"596","Park","Alternative",40,38,1520,1066,454
"597","Park","Alternative",32,46,1472,1122,350
"598","Park","Alternative",32,52,1664,1164,500
"599","Park","Alternative",35,42,1470,1094,376
"600","Park","Alternative",40,29,1160,1003,157
"601","Park","Alternative",40,36,1440,1052,388
"602","Park","Alternative",32,51,1632,1157,475
"603","Park","Alternative",35,50,1750,1150,600
"604","Park","Alternative",40,44,1760,1108,652
